Retailer,Category,Sub-Category,Domain,URL,Colors,Size,Product Hierarchy,Brand Name,Product Name,SKU,Reg. Price,Promo Price,Prime Price,Promo Tag,Each Price,Product Description,Product Details,# of Images,Marketplace,Nutrition Information,Dietary Need,Total Product Star Rating,Total # of Ratings,Total Recommendation Percentage,Delivery Options,Total Number of Q&A,UPC,Promo Tag-PICKUP,Reg. Price-PICKUP,Promo Price-PICKUP,Promo Tag-DELIVERY,Reg. Price-DELIVERY,Promo Price-DELIVERY,Promo Tag-SHIP,Reg. Price-SHIP,Promo Price-SHIP,DeliveryOption,ImageUrls,Ingredients,Promo Tag-,Reg. Price-,Promo Price-
Kroger,Frozen Foods,Frozen Pizza,Kroger.com,https://www.kroger.com/p/private-selection-mediterranean-inspired-vegetable-thin-crust-pizza/0001111088915?fulfillment=SHIP,,18.7 oz,Home>Frozen Foods>Frozen Pizza>Private Selection® Mediterranean Inspired Vegetable Thin Crust Pizza,,Private Selection® Mediterranean Inspired Vegetable Thin Crust Pizza,0001111088915,,,,,,"Private Selection®Mediterranean Inspired Vegetable Thin Crust Pizza is crafted with the finest ingredients. The sourdough is proofed for 24 hours and the crust is baked on hot, white granite stones to create an irresistible flavor, texture, and restaurant-style charring. The earthy flavors of chargrilled peppers and zucchini are balanced by buffalo mozzarella, black olive tapenade style sauce, sun-ripened tomatoes, black olives, pecorino Romano cheese and roasted garlic to create mouthwatering pizza inspired by the classic flavors of Mediterranean cuisine.",,6,,"Nutrition Facts
servings per container
Serving size0.25pizza (133 g)
------

Amount per serving
Calories300
------

% Daily value*

Total Fat12g15.38%

Saturated Fat3.5g17.5%

Trans Fat0g

Cholesterol5mg1.67%

Sodium590mg25.65%

Total Carbohydrate38g13.82%

Dietary Fiber3g10.71%

Sugar6g

Protein10g

------

Calcium110mg8%

Iron0.9mg6%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Wheat and Their Derivatives,Eggs and Their Derivatives,Other gluten Containing Grain and Gluten Containing Grain Products,Milk and its Derivatives,Corn and Its Derivatives.",,0,,,,0001111088915,,$5.99,4.99,,$5.99,4.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001111088915|https://www.kroger.com/product/images/large/back/0001111088915|https://www.kroger.com/product/images/large/left/0001111088915|https://www.kroger.com/product/images/large/right/0001111088915|https://www.kroger.com/product/images/large/top/0001111088915|https://www.kroger.com/product/images/large/bottom/0001111088915,"Crust (Wheat Flour, Water, Canola Oil, Wheat Germ Flour, Salt, Yeast, Dextrose), Chargrilled Yellow and Red Peppers, Olive Oil Sauce (Water, Olive Oil, Extra Virgin, Grana Padano Cheese [Milk, Salt, Rennet, Egg White Lysozyme {Preservative}], Corn Starch, Salt, Garlic), Mozzarella Cheese Made With Water Buffalo Milk (Milkfat from Pasteurized Water Buffalo Milk and Nonfat Pasteurized Water Buffalo Milk, Salt, Rennet), Black Olive Sauce (Black Olives [Olives, Water, Salt, Lactic Acid], Olive Oil Extra Virgin, Creme Fraiche [Cultured Pasteurized Cream, Cheese Cultures], Canola Oil, Wheat Flour, Sugar, Salt, Spices, Potato Starch), Chargrilled Zucchini, Marinated Semi-dried Tomatoes (Semi-dried Tomatoes, Sunflower Oil, Salt, Spices, Garlic), Black Olives (Olives, Salt), Pecorino Romano Cheese Made With Sheep's Milk (Pasteurized Sheep's Milk, Salt, Cheese Cultures, Enzymes), Roasted Garlic (Garlic, Sunflower Oil), Olive Oil Extra Virgin.",,,
Kroger,Natural & Organic,Beverages,Kroger.com,https://www.kroger.com/p/puroast-organic-house-blend-ground-coffee/0073214835013?fulfillment=SHIP,,12 oz,Home>Natural & Organic>Beverages>Puroast Organic House Blend Ground Coffee,,Puroast Organic House Blend Ground Coffee,0073214835013,,,,,,"The big difference in Puroast: not only does our roasting recipe make for a smoother taste, it also greatly reduces the acid in coffee, by more than 70% compared to leading brands. This was confirmed in scientific research at the University of California at Davis. This same research team also found that our roasting process dramatically increases the amount of antioxidants by 7 times more than green tea and 5 times more than other leading coffees.Along with Puroast Coffee's exquisite flavor, the benefits of lower acid and rich levels of antioxidants will bring you enjoyment like no other coffee you've ever had.",,1,,"Nutrition Facts
servings per container
Serving size8fl oz (237 g)
------

Amount per serving
Calories2.4
------

% Daily value*

Total Fat0.05g0.06%

Saturated Fat0.01g0.05%

Trans Fat0g

Polyunsaturated Fat0.002g

Monounsaturated Fat0.036g

Cholesterol0mg0%

Sodium4.7mg0.2%

Total Carbohydrate0g0%

Dietary Fiber0g0%

Sugar0g

Protein0.284g

------

Calcium4.74mg0%

Iron0.024mg0%

Vitamin A0mcg0%

Vitamin C0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Free from Does Not Contain Declaration Obligatory Allergens.,,36,,,,0073214835013,,7.99,,,7.99,,,9.99,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0073214835013,Organic Coffee,,,
Kroger,Beverages,Soda & Pop,Kroger.com,https://www.kroger.com/p/coca-cola-classic-soda/0004900005537?fulfillment=PICKUP,,1.25 L,Home>Beverages>Soda & Pop>Coca-Cola Classic Soda,,Coca-Cola Classic Soda,0004900005537,,,,,,"Enjoy Coca-Cola's crisp, delicious taste with meals, on the go, or to share. Serve ice cold for maximum refreshment.Bring home the refreshing taste of Coca-ColaFor crisp, cold taste… serve chilled at 37 degreesNo artificial flavors or preservatives addedLow sodium",,4,,"Nutrition Facts
servings per container
Serving size12fluid ounce (360 milliliter)
------

Amount per serving
Calories140
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium45mg1.96%

Total Carbohydrate39g14.18%

Dietary Fiber0g0%

Sugar39g

Protein0g

------

Calcium0mg0%

Iron0mg0%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Contains Corn and Its Derivatives.,,6337,,,,0004900005537,,1.39,,,1.39,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0004900005537|https://www.kroger.com/product/images/large/back/0004900005537|https://www.kroger.com/product/images/large/left/0004900005537|https://www.kroger.com/product/images/large/right/0004900005537,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavors, Caffeine.",,,
Kroger,"Beer, Wine & Liquor",Spiked Seltzers & Flavored Malt Beverages,Kroger.com,https://www.kroger.com/p/mike-s-hard-lemonade-seltzers/0063598580017?fulfillment=PICKUP,,12 cans / 12 fl oz,"Home>Beer, Wine & Liquor>Spiked Seltzers & Flavored Malt Beverages>Mike's Hard Lemonade Seltzers",,Mike's Hard Lemonade Seltzers,0063598580017,,,,,,"Mike’s Hard Lemonade Seltzer is a full flavor Hard Lemonade Seltzer. The Variety Pack includes four refreshing flavors: Lemon, Strawberry, Mango, and Pineapple. Mike’s Hard Lemonade Seltzer is the perfect balance of sweetness and tartness. Nobody makes lemonade like Mike’s.100 calories5% ABV1g sugarGluten free",,5,,"Nutrition Facts
servings per container
Serving size1can (355 ml)
------

Amount per serving
Calories100
------

% Daily value*

Total Fat0g0%

Sodium90mg3.91%

Total Carbohydrate1g0.36%

Sugar1g

Protein0g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,454,,,,0063598580017,,$18.99,16.99,,$18.99,16.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0063598580017|https://www.kroger.com/product/images/large/left/0063598580017|https://www.kroger.com/product/images/large/right/0063598580017|https://www.kroger.com/product/images/large/top/0063598580017|https://www.kroger.com/product/images/large/bottom/0063598580017,"Lemon Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Concentrated Lemon Juice, Sodium Citrate, Stevia Leaf Extract.Mango Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Concentrated Lemon Juice, Sodium Citrate, Stevia Leaf Extract.Strawberry Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Concentrated Lemon Juice, Sodium Citrate, Stevia Leaf Extract.Pineapple Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Citric Acid, Cane Sugar, Concentrated Lemon Juice, Sodium Citrate, Stevia Leaf Extract",,,
Kroger,"Beer, Wine & Liquor",Spirits & Liquor,Kroger.com,https://www.kroger.com/p/chi-chi-s-ruby-red-margarita-wine-cocktail/0008066001151?fulfillment=PICKUP,,187 mL,"Home>Beer, Wine & Liquor>Spirits & Liquor>Chi-Chi's Ruby Red Margarita Wine Cocktail",,Chi-Chi's Ruby Red Margarita Wine Cocktail,0008066001151,,,,,,This Chi-Chi's wine-based cocktail tastes and performs just like its spirit-based counterparts.Perfectly balanced ingredients to create the cocktail experience you would expectResealable packaging allows for on-the-go consumptionPerfect for parties and cocktails at home,,1,,"Nutrition Facts
4.215 Approximately servings per container
Serving sizePer 1.5 Fluid Ounce
------

Amount per serving
Calories0
------

% Daily value*

Total Fat0g

Saturated Fat0g

Trans Fat0g

Cholesterol0mg

Sodium0mg

Total Carbohydrate0g

Dietary Fiber0g

Sugar0g

Protein0g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Free from Does Not Contain Declaration Obligatory Allergens.,,0,,,,0008066001151,3 For $5.00,$1.99,1.67,3 For $5.00,$1.99,1.67,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008066001151,Grape,,,
Kroger,"Beer, Wine & Liquor",White Wine,Kroger.com,https://www.kroger.com/p/la-crema-monterey-chardonnay-white-wine/0004933102109?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>White Wine>La Crema Monterey Chardonnay White Wine",,La Crema Monterey Chardonnay White Wine,0004933102109,,,,,,"La Crema Monterey Chardonnay is an elegant, fresh and light white wine with bright citrus and exotic fruit notes. This opulent, yet approachable white wine has aromas of Meyer lemon, grilled pineapple and guava are followed by flavors of nectarine, papaya and lemon-tangerine with touches of spice and minerality. This wine offers freshness and spritzy acidity in every sip.The 2018 vintage of this dry white wine Chardonnay received 90 points and Editors' Choice from Wine Enthusiast's Matt Kettmann in August 2020A La Crema wine that offers flavors of nectarine, papaya and lemon-tangerine with touches of spice and mineralityPair this white wine Chardonnay with grilled salmon, fresh shrimp tacos or exotic cuisine such as Pad ThaiMedium bodied, dry wine with aromas of Meyer lemon, grilled pineapple and guava with a balanced acidity on a long finishServe this Chardonnay wine bottle with dinner or to celebrate a special occasionCalifornia wine from cool climates in Monterey County, California",,4,,,,,0,,,,0004933102109,,$22.99,12.99,,$22.99,12.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0004933102109|https://www.kroger.com/product/images/large/back/0004933102109|https://www.kroger.com/product/images/large/left/0004933102109|https://www.kroger.com/product/images/large/top/0004933102109,,,,
Kroger,"Beer, Wine & Liquor",Rose & Blush Wine,Kroger.com,https://www.kroger.com/p/barefoot-fruit-scato-strawberry-moscato/0008500002901?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>Rose & Blush Wine>Barefoot Fruit-Scato Strawberry Moscato",,Barefoot Fruit-Scato Strawberry Moscato,0008500002901,,,,,,"Barefoot Strawberry Moscato is a delightfully sweet wine with natural flavors of juicy, ripe strawberries. This bottle comes with a easy-to-open screw cap, so no wine opener is needed. Best served chilled!Flavors of juicy, ripe strawberriesLight, sweet and refreshingMoscato wine with natural flavorsScrew cap, no wine opener neededServe chilled",,2,,,,,0,,,,0008500002901,2 For $11.00,$9.99,5.50,2 For $11.00,$9.99,5.50,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008500002901|https://www.kroger.com/product/images/large/back/0008500002901,,,,
Kroger,"Beer, Wine & Liquor",Rose & Blush Wine,Kroger.com,https://www.kroger.com/p/beringer-main-vine-white-zinfandel-pink-wine/0008981903842?fulfillment=PICKUP,,1.5 L,"Home>Beer, Wine & Liquor>Rose & Blush Wine>Beringer Main & Vine White Zinfandel Pink Wine",,Beringer Main & Vine White Zinfandel Pink Wine,0008981903842,,,,,,"In making Beringer’s White Zinfandel, the focus is to highlight the fresh red berry, citrus and melon aromas and flavors, and round them out with subtle hints of nutmeg and clove. The wine has a youthful exuberance that is enjoyable as a sipper on its own, or with a variety of dishes.Find Beringer Main & Vine at the end of Main Street, where the shops slowly fade into California vineyards, and wine country begins. Main & Vine is a wine where time-honored values blend seamlessly with generations of winemaking craftmanship to create one of America's favorite wine brands. But Main & Vine is more than a wine. It's anyplace friends and family gather for the simple joy of being together to cherish life's moments. And nothing brings us together like creating shared memories over a glass of wine.100+ gold medals won by Beringer1.5 L bottle13.5% alcohol by volume",,3,,,,,0,,,,0008981903842,,$15.99,7.99,,$15.99,7.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008981903842|https://www.kroger.com/product/images/large/back/0008981903842|https://www.kroger.com/product/images/large/left/0008981903842,,,,
Kroger,"Beer, Wine & Liquor",White Wine,Kroger.com,https://www.kroger.com/p/j-lohr-estates-riverstone-chardonnay-white-wine/0008912106882?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>White Wine>J. Lohr Estates Riverstone Chardonnay White Wine",,J. Lohr Estates Riverstone Chardonnay White Wine,0008912106882,,,,,,"For more than thirty years, the wines of J. Lohr Estates have been consumer favorites. Carefully crafted in a food-friendly, balanced style, they flavorfully reflect their Monterey and Paso Robles origins. By harvesting and blending multiple vineyard sites, J. Lohr Estates wines showcase the best of each vintage. The ability to draw upon and blend from our various pioneering properties in Monterey and Paso Robles is key to J. Lohr Estates’ long track record of exceptional quality.Our Riverstone Chardonnay vineyards in the Arroyo Seco are composed of primarily Elder loam soils; these soils have large alluvial stones locally known as “Greenfield Potatoes,” which limit soil depth to one to four feet, providing ideal drainage for our vines. Classic Monterey stone fruit and citrus aromas and flavors, balanced by cool climate acidity and nine months oak aging. This wine has earned the “Certified California Sustainable Winegrowing” seal from the California Sustainable Winegrowing Alliance.",,6,,,,,0,,,,0008912106882,,$15.99,10.99,,$15.99,10.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008912106882|https://www.kroger.com/product/images/large/back/0008912106882|https://www.kroger.com/product/images/large/left/0008912106882|https://www.kroger.com/product/images/large/right/0008912106882|https://www.kroger.com/product/images/large/top/0008912106882|https://www.kroger.com/product/images/large/bottom/0008912106882,,,,
Kroger,"Beer, Wine & Liquor",Domestic & Imported Beer,Kroger.com,https://www.kroger.com/p/bud-light-lime-light-lager-beer/0001820014991?fulfillment=PICKUP,,6 bottles / 12 fl oz,"Home>Beer, Wine & Liquor>Domestic & Imported Beer>Bud Light® Lime Light Lager Beer",,Bud Light® Lime Light Lager Beer,0001820014991,,,,,,This is the famous Bud Light Lime. We believe what we put into our beer is just as important as what we leave out. That's why we brew using essential ingredients and real lime peels for the best in summer refreshment. Find out what's in your beer.,,5,,"Nutrition Facts
6.0 servings per container
Serving size
------

Amount per serving
Calories116
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Polyunsaturated Fat0g

Monounsaturated Fat0g

Cholesterol0mg0%

Sodium0mg0%

Total Carbohydrate8g3%

Dietary Fiber0g0%

Sugar0g

Protein0.9g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Cereals and Their Derivatives,Barley and Barley Products,Corn and Its Derivatives. Free from Does Not Contain Declaration Obligatory Allergens.",,0,,,,0001820014991,,$9.99,8.99,,$9.99,8.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001820014991|https://www.kroger.com/product/images/large/left/0001820014991|https://www.kroger.com/product/images/large/right/0001820014991|https://www.kroger.com/product/images/large/top/0001820014991|https://www.kroger.com/product/images/large/bottom/0001820014991,"Water , Corn , Barley Malt , Cane Sugar , Citric Acid , Natural Flavor , Lime Peels , Hop Extract .",,,
Kroger,"Beer, Wine & Liquor",Domestic & Imported Beer,Kroger.com,https://www.kroger.com/p/natural-light-beer/0001820025002?fulfillment=PICKUP,,25 fl oz,"Home>Beer, Wine & Liquor>Domestic & Imported Beer>Natural Light Beer",,Natural Light Beer,0001820025002,,,,,,"Its longer brewing process produces a lighter body, fewer calories, and an easy-drinking character that’s welcome in any story.",,5,,"Nutrition Facts
servings per container
Serving size
------

Amount per serving
Calories95
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium0mg0%

Total Carbohydrate3.2g1%

Dietary Fiber0g0%

Sugar0g

Protein0.7g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Cereals and Their Derivatives,Barley and Barley Products. Free from Does Not Contain Declaration Obligatory Allergens.",,0,,,,0001820025002,,2.09,,,2.09,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001820025002|https://www.kroger.com/product/images/large/back/0001820025002|https://www.kroger.com/product/images/large/left/0001820025002|https://www.kroger.com/product/images/large/right/0001820025002|https://www.kroger.com/product/images/large/top/0001820025002,"Water , Barley Malt , Cereal Grains , Hops , Yeast .",,,
Kroger,"Beer, Wine & Liquor",Rose & Blush Wine,Kroger.com,https://www.kroger.com/p/chateau-ste-michelle-rose-wine/0008858600932?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>Rose & Blush Wine>Chateau Ste Michelle Rose Wine",,Chateau Ste Michelle Rose Wine,0008858600932,,,,,,"This Columbia Valley Rose from Chateau Ste. Michelle dawns a pale pink hue and expressive aromatics. Strawberry rhubarb pie, watermelon, and white flowers swirl in layers from the glass, complementing the palate and flavors of raspberry, melon, and mint. The lifted acidity carries the notes through to a crisp and refreshing finish. Think of sunny days on the patio, backyard BBQ, and sheer relaxation. Chateau Ste. Michelle's Rose wine is a delightful accompaniment to a wide array of cheeses, chilled watermelon gazpacho, and grilled salmon.A Blend of 98% Syrah and 2% Merlot grapes from Columbia ValleyRose wine pairs well with light pasta and rice dishes, grilled fish and a wide array of cheesesStainless-steel fermentation to preserve fresh fruit characterExpressive aromatics and lively fruit flavors",,6,,,,,20,,,,0008858600932,,$21.99,8.99,,$21.99,8.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008858600932|https://www.kroger.com/product/images/large/back/0008858600932|https://www.kroger.com/product/images/large/left/0008858600932|https://www.kroger.com/product/images/large/right/0008858600932|https://www.kroger.com/product/images/large/top/0008858600932|https://www.kroger.com/product/images/large/bottom/0008858600932,,,,
Kroger,Frozen Foods,Frozen Pizza,Kroger.com,https://www.kroger.com/p/california-pizza-kitchen-margherita-recipe-crispy-thin-crust-frozen-pizza/0007192129053?fulfillment=SHIP,,15.5 oz,Home>Frozen Foods>Frozen Pizza>California Pizza Kitchen® Margherita Recipe Crispy Thin Crust Frozen Pizza,,California Pizza Kitchen® Margherita Recipe Crispy Thin Crust Frozen Pizza,0007192129053,,,,,,"Let these flavors lead your next adventure. This light and fresh-tasting Margherita pizza is topped with premium ingredients like vine-ripened tomatoes, extra virgin olive oil, sweet basil, mozzarella, and Fontina cheeses all on our crispy thin crust.100% real cheeseNo artificial flavorsPreservative-free crust",,6,,"Nutrition Facts
servings per container
Serving size0.333pizza (146 g)
------

Amount per serving
Calories300
------

% Daily value*

Total Fat15g19.23%

Saturated Fat7g35%

Trans Fat0g

Cholesterol30mg10%

Sodium470mg20.43%

Total Carbohydrate30g10.91%

Dietary Fiber2g7.14%

Sugar4g

Protein12g

------

Calcium240mg20%

Iron2.4mg15%

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.","Contains Wheat and Their Derivatives,Other gluten Containing Grain and Gluten Containing Grain Products,Milk and its Derivatives,Corn and Its Derivatives.",,357,,,,0007192129053,,6.49,,,6.49,,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0007192129053|https://www.kroger.com/product/images/large/back/0007192129053|https://www.kroger.com/product/images/large/left/0007192129053|https://www.kroger.com/product/images/large/right/0007192129053|https://www.kroger.com/product/images/large/top/0007192129053|https://www.kroger.com/product/images/large/bottom/0007192129053,"Toppings: Tomatoes, Mozzarella Cheese (Milk, Skim Milk, Cheese Culture, Salt, Enzymes), Low-moisture Part-skim Mozzarella Cheese (Part-skim Milk, Cheese Culture, Salt, Enzymes), Fontina Cheese (Cultured Milk, Salt, Enzymes), Extra Virgin Olive Oil, Basil.Crust: Enriched Wheat Flour (Wheat Flour, Niacin [Vitamin B3], Reduced Iron, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid [Vitamin B9]), Water, Sugar, Palm Oil, Olive Oil, Sea Salt, Baking Powder (Sodium Acid Pyrophosphate, Baking Soda, Corn Starch, Monocalcium Phosphate).Sauce: Water, Tomato Paste, Extra Virgin Olive Oil, Balsamic Vinegar, Sea Salt, Basil",,,
Kroger,"Beer, Wine & Liquor",White Wine,Kroger.com,https://www.kroger.com/p/woodbridge-by-robert-mondavi-pinot-grigio-white-wine/0008600300165?fulfillment=PICKUP,,1.5 L,"Home>Beer, Wine & Liquor>White Wine>Woodbridge by Robert Mondavi Pinot Grigio White Wine",,Woodbridge by Robert Mondavi Pinot Grigio White Wine,0008600300165,,,,,,"Crisp and refreshing, Woodbridge by Robert Mondavi Pinot Grigio White Wine is a food-friendly California wine with delightful aromas of nectarine, fresh peach, and citrus. Well-rounded with bright, acidic, and flavorful notes, this crisp white wine pairs well with seafood and other light dishes. The grapes used to make this light wine are sourced from California's north valley vineyards, producing a balanced blend. Cold-fermented to enhance aroma and crafted to retain its fresh, crisp character, this pinot grigio wine is best served slightly chilled. This California white wine also pairs beautifully with Thai food, roast chicken and other poultry, plus a variety of cheeses, making it a delightful addition to any warm and sunny afternoon. Please enjoy our wines responsibly. © 2021 Woodbridge Winery, Acampo, CA.",,6,,,,,39,,,,0008600300165,,$14.99,9.99,,$14.99,9.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008600300165|https://www.kroger.com/product/images/large/back/0008600300165|https://www.kroger.com/product/images/large/left/0008600300165|https://www.kroger.com/product/images/large/right/0008600300165|https://www.kroger.com/product/images/large/top/0008600300165|https://www.kroger.com/product/images/large/bottom/0008600300165,,,,
Kroger,"Beer, Wine & Liquor",Domestic & Imported Beer,Kroger.com,https://www.kroger.com/p/michelob-ultra-pure-gold-organic-light-lager/0001820020082?fulfillment=PICKUP,,6 bottles / 12 fl oz,"Home>Beer, Wine & Liquor>Domestic & Imported Beer>Michelob Ultra® Pure Gold Organic Light Lager",,Michelob Ultra® Pure Gold Organic Light Lager,0001820020082,,,,,,"Brewed with 100% renewable electricityfrom the sun. Organic by Nature. Brewed with organic grains from the country's finest fields, Michelob Ultra Pure Gold delivers the pure, crisp, refreshing taste you love.",,6,,"Nutrition Facts
servings per container
Serving size
------

Amount per serving
Calories85
------

% Daily value*

Total Fat0g0%

Saturated Fat0g0%

Trans Fat0g

Cholesterol0mg0%

Sodium0mg0%

Total Carbohydrate2.5g1%

Dietary Fiber0g0%

Sugar0g

Protein0.5g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",,,0,,,,0001820020082,,$10.99,9.99,,$10.99,9.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0001820020082|https://www.kroger.com/product/images/large/back/0001820020082|https://www.kroger.com/product/images/large/left/0001820020082|https://www.kroger.com/product/images/large/right/0001820020082|https://www.kroger.com/product/images/large/top/0001820020082|https://www.kroger.com/product/images/large/bottom/0001820020082,,,,
Kroger,"Beer, Wine & Liquor",Craft Beer,Kroger.com,https://www.kroger.com/p/new-belgium-voodoo-ranger-imperial-ipa-beer/0075452700567?fulfillment=PICKUP,,12 bottles / 12 fl oz,"Home>Beer, Wine & Liquor>Craft Beer>New Belgium Voodoo Ranger Imperial IPA Beer",,New Belgium Voodoo Ranger Imperial IPA Beer,0075452700567,,,,,,"Voodoo Ranger Imperial IPA is a rare blend of choice hops that creates an explosion of fresh-cut pine and citrus flavors for a complex, rich and delicious flavor.",,3,,,,,0,,,,0075452700567,,$16.99,14.99,,$16.99,14.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0075452700567|https://www.kroger.com/product/images/large/back/0075452700567|https://www.kroger.com/product/images/large/right/0075452700567,,,,
Kroger,"Beer, Wine & Liquor",Rose & Blush Wine,Kroger.com,https://www.kroger.com/p/stella-rosa-l-originale-stella-pink-wine/0008787263223?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>Rose & Blush Wine>Stella Rosa L'Originale Stella Pink Wine",,Stella Rosa L'Originale Stella Pink Wine,0008787263223,,,,,,Stella Rosa Pink is a propriety blend produced primarily from the Moscato grape with various other varietals. This blend results in a vibrant pink characteristic and flavors of strawberry and rose petals.,,4,,"Nutrition Facts
servings per container
Serving size
------

Amount per serving
Calories190
------

% Daily value*

Total Carbohydrate28g9%

Sugar24g

------

*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.",Contains Sulfur Dioxide and Sulfits.,,0,,,,0008787263223,,$18.99,9.99,,$18.99,9.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008787263223|https://www.kroger.com/product/images/large/back/0008787263223|https://www.kroger.com/product/images/large/left/0008787263223|https://www.kroger.com/product/images/large/right/0008787263223,"Wine , Grape Must , Sugar , Natural Flavors , Sulphur Dioxide ( Antioxidant ) , No Added Juice .",,,
Kroger,"Beer, Wine & Liquor",Red Wine,Kroger.com,https://www.kroger.com/p/clos-du-bois-cabernet-sauvignon-red-wine/0008735640512?fulfillment=PICKUP,,750 mL,"Home>Beer, Wine & Liquor>Red Wine>Clos du Bois Cabernet Sauvignon Red Wine",,Clos du Bois Cabernet Sauvignon Red Wine,0008735640512,,,,,,"Clos Du Bois Cabernet Sauvignon is a smooth red wine with aromas of black currant, blackberry, and oak barrel spice. Complex with a slightly dry finish, this full-bodied cabernet sauvignon pairs well with grilled meats, vegetables, and spicy pasta dishes. Our winery sources grapes from the vibrant, diverse regions of Sonoma County and Coastal California where sustainable winegrowing is our top priority. Over 40 years of winemaking dedication Hand-selected lots Certified California Sustainable Winegrowing winery",,6,,,,,0,,,,0008735640512,,$16.99,7.99,,$16.99,7.99,,,,Pickup;Delivery;Ship,https://www.kroger.com/product/images/large/front/0008735640512|https://www.kroger.com/product/images/large/back/0008735640512|https://www.kroger.com/product/images/large/left/0008735640512|https://www.kroger.com/product/images/large/right/0008735640512|https://www.kroger.com/product/images/large/top/0008735640512|https://www.kroger.com/product/images/large/bottom/0008735640512,,,,
